customer_id,concept_id,pilot_interest,urgency_score,budget_signal,willingness_to_pay,expected_value,implementation_risk
CUST-0018,CONCEPT-002,0.22,0.209,0.05,0.464,0.289,0.381
CUST-0037,CONCEPT-002,0.415,0.12,0.168,0.523,0.392,0.063
CUST-0059,CONCEPT-002,0.407,0.226,0.29,0.416,0.288,0.306
CUST-0025,CONCEPT-002,0.555,0.367,0.363,0.533,0.359,0.321
CUST-0050,CONCEPT-002,0.335,0.218,0.284,0.502,0.18,0.316
CUST-0068,CONCEPT-003,0.391,0.266,0.454,0.486,0.424,0.372
CUST-0050,CONCEPT-003,0.358,0.091,0.253,0.567,0.39,0.332
CUST-0060,CONCEPT-003,0.445,0.237,0.303,0.517,0.514,0.156
CUST-0076,CONCEPT-003,0.303,0.337,0.253,0.371,0.38,0.392
CUST-0041,CONCEPT-003,0.28,0.316,0.41,0.468,0.394,0.313
CUST-0077,CONCEPT-003,0.476,0.397,0.224,0.703,0.492,0.218
CUST-0013,CONCEPT-003,0.526,0.243,0.185,0.462,0.488,0.061
CUST-0007,CONCEPT-003,0.546,0.314,0.104,0.526,0.436,0.364
CUST-0010,CONCEPT-003,0.417,0.246,0.373,0.368,0.234,0.139
CUST-0079,CONCEPT-003,0.178,0.076,0.218,0.38,0.061,0.235
CUST-0073,CONCEPT-003,0.22,0.36,0.12,0.502,0.422,0.31
CUST-0012,CONCEPT-003,0.354,0.203,0.28,0.53,0.345,0.367
CUST-0025,CONCEPT-003,0.261,0.245,0.204,0.34,0.292,0.255
CUST-0015,CONCEPT-003,0.313,0.309,0.388,0.541,0.617,0.335
CUST-0022,CONCEPT-003,0.515,0.537,0.232,0.309,0.292,0.307
CUST-0034,CONCEPT-003,0.425,0.446,0.337,0.608,0.449,0.188
CUST-0008,CONCEPT-003,0.402,0.244,0.21,0.394,0.275,0.175
CUST-0003,CONCEPT-003,0.251,0.148,0.325,0.515,0.409,0.254
CUST-0030,CONCEPT-003,0.323,0.3,0.201,0.525,0.428,0.369
CUST-0035,CONCEPT-003,0.165,0.268,0.311,0.497,0.431,0.274
CUST-0064,CONCEPT-004,0.438,0.349,0.217,0.611,0.436,0.506
CUST-0030,CONCEPT-004,0.532,0.324,0.369,0.527,0.242,0.461
CUST-0076,CONCEPT-004,0.433,0.384,0.469,0.559,0.394,0.56
CUST-0035,CONCEPT-004,0.407,0.297,0.572,0.393,0.307,0.546
CUST-0079,CONCEPT-004,0.389,0.328,0.223,0.463,0.382,0.566
CUST-0050,CONCEPT-004,0.268,0.245,0.294,0.319,0.199,0.444
CUST-0008,CONCEPT-004,0.367,0.32,0.291,0.575,0.424,0.58
CUST-0059,CONCEPT-004,0.355,0.283,0.291,0.759,0.609,0.67
CUST-0041,CONCEPT-004,0.483,0.254,0.454,0.41,0.45,0.553
CUST-0033,CONCEPT-004,0.276,0.301,0.191,0.6,0.421,0.474
CUST-0022,CONCEPT-004,0.427,0.295,0.454,0.449,0.395,0.55
CUST-0026,CONCEPT-004,0.158,0.206,0.291,0.531,0.292,0.34
CUST-0062,CONCEPT-004,0.373,0.41,0.169,0.505,0.495,0.521
CUST-0028,CONCEPT-004,0.387,0.354,0.277,0.62,0.472,0.449
CUST-0069,CONCEPT-004,0.444,0.326,0.291,0.545,0.42,0.524
CUST-0071,CONCEPT-004,0.332,0.012,0.456,0.443,0.353,0.464
CUST-0002,CONCEPT-004,0.228,0.366,0.133,0.501,0.378,0.548
CUST-0021,CONCEPT-004,0.444,0.076,0.088,0.337,0.175,0.503
CUST-0044,CONCEPT-004,0.231,0.024,0.087,0.563,0.427,0.597
CUST-0014,CONCEPT-004,0.371,0.27,0.351,0.762,0.651,0.576
CUST-0060,CONCEPT-004,0.303,0.202,0.193,0.64,0.365,0.56
CUST-0055,CONCEPT-004,0.309,0.267,0.245,0.482,0.279,0.592
CUST-0042,CONCEPT-004,0.611,0.356,0.422,0.58,0.454,0.676
CUST-0007,CONCEPT-004,0.325,0.345,0.141,0.479,0.331,0.51
CUST-0039,CONCEPT-004,0.638,0.512,0.295,0.617,0.553,0.448
CUST-0048,CONCEPT-004,0.458,0.294,0.332,0.657,0.507,0.639
CUST-0065,CONCEPT-004,0.425,0.311,0.291,0.582,0.463,0.561
CUST-0028,CONCEPT-005,0.463,0.296,0.066,0.504,0.414,0.418
CUST-0058,CONCEPT-005,0.495,0.387,0.171,0.403,0.353,0.353
CUST-0057,CONCEPT-005,0.313,0.113,0.349,0.417,0.193,0.442
CUST-0044,CONCEPT-005,0.33,0.163,0.282,0.401,0.221,0.342
CUST-0042,CONCEPT-005,0.394,0.264,0.395,0.471,0.43,0.369
CUST-0049,CONCEPT-005,0.428,0.261,0.198,0.467,0.262,0.474
CUST-0061,CONCEPT-005,0.249,0.119,0.127,0.363,0.267,0.615
CUST-0031,CONCEPT-005,0.3,0.209,0.298,0.431,0.285,0.443
CUST-0019,CONCEPT-005,0.236,0.32,0.115,0.224,0.263,0.412
CUST-0080,CONCEPT-005,0.265,0.193,0.097,0.349,0.292,0.432
CUST-0063,CONCEPT-005,0.185,0.198,0.131,0.311,0.327,0.247
CUST-0008,CONCEPT-006,0.265,0.259,0.294,0.563,0.396,0.485
CUST-0066,CONCEPT-006,0.167,0.426,0.047,0.474,0.444,0.463
CUST-0041,CONCEPT-006,0.279,0.009,0.146,0.336,0.19,0.5
CUST-0080,CONCEPT-006,0.337,0.362,0.27,0.384,0.323,0.4
CUST-0042,CONCEPT-006,0.31,0.238,0.008,0.331,0.309,0.383
CUST-0036,CONCEPT-006,0.449,0.173,0.109,0.66,0.521,0.384
CUST-0022,CONCEPT-006,0.155,0.033,0.202,0.326,0.311,0.439
CUST-0014,CONCEPT-006,0.279,0.0,0.202,0.517,0.42,0.287
CUST-0020,CONCEPT-006,0.422,0.402,0.251,0.522,0.343,0.483
CUST-0012,CONCEPT-006,0.086,0.057,0.158,0.337,0.274,0.32
CUST-0032,CONCEPT-006,0.315,0.25,0.022,0.481,0.458,0.501
CUST-0062,CONCEPT-006,0.517,0.261,0.314,0.599,0.452,0.375
CUST-0053,CONCEPT-006,0.421,0.221,0.399,0.49,0.372,0.385
CUST-0035,CONCEPT-006,0.19,0.369,0.179,0.591,0.454,0.421
CUST-0078,CONCEPT-006,0.374,0.432,0.291,0.474,0.423,0.483
CUST-0049,CONCEPT-006,0.184,0.141,0.202,0.431,0.38,0.556
CUST-0046,CONCEPT-006,0.121,0.0,0.374,0.398,0.312,0.368
CUST-0018,CONCEPT-006,0.307,0.182,0.321,0.596,0.387,0.369
CUST-0065,CONCEPT-006,0.426,0.336,0.199,0.459,0.331,0.514
CUST-0063,CONCEPT-006,0.265,0.284,0.184,0.437,0.363,0.509
CUST-0079,CONCEPT-006,0.456,0.399,0.272,0.414,0.415,0.425
CUST-0021,CONCEPT-006,0.294,0.241,0.17,0.469,0.54,0.546
CUST-0045,CONCEPT-006,0.334,0.161,0.238,0.464,0.261,0.391
CUST-0013,CONCEPT-007,0.278,0.237,0.107,0.443,0.345,0.227
CUST-0040,CONCEPT-007,0.415,0.088,0.251,0.617,0.396,0.434
CUST-0008,CONCEPT-007,0.37,0.178,0.179,0.566,0.478,0.388
CUST-0073,CONCEPT-007,0.321,0.157,0.0,0.461,0.25,0.576
CUST-0075,CONCEPT-007,0.362,0.268,0.087,0.477,0.459,0.583
CUST-0042,CONCEPT-007,0.376,0.255,0.162,0.66,0.5,0.588
CUST-0068,CONCEPT-007,0.266,0.249,0.17049999999999998,0.467,0.377,0.652
CUST-0070,CONCEPT-007,0.27,0.257,0.182,0.467,0.305,0.464
CUST-0047,CONCEPT-007,0.485,0.414,0.501,0.64,0.536,0.304
CUST-0020,CONCEPT-007,0.233,0.22,0.124,0.353,0.208,0.323
CUST-0056,CONCEPT-007,0.139,0.1,0.138,0.306,0.261,0.513
CUST-0003,CONCEPT-007,0.259,0.282,0.126,0.41,0.427,0.514
CUST-0021,CONCEPT-007,0.376,0.037,0.381,0.444,0.389,0.472
CUST-0026,CONCEPT-007,0.302,0.289,0.196,0.497,0.295,0.392
CUST-0029,CONCEPT-007,0.445,0.361,0.251,0.515,0.381,0.373
CUST-0061,CONCEPT-007,0.232,0.303,0.307,0.467,0.397,0.704
CUST-0005,CONCEPT-007,0.512,0.291,0.339,0.657,0.638,0.508
CUST-0057,CONCEPT-007,0.324,0.379,0.158,0.429,0.393,0.449
CUST-0065,CONCEPT-007,0.398,0.332,0.141,0.449,0.275,0.265
CUST-0004,CONCEPT-008,0.106,0.216,0.253,0.246,0.257,0.289
CUST-0063,CONCEPT-008,0.056,0.0,0.122,0.477,0.227,0.405
CUST-0043,CONCEPT-008,0.111,0.06,0.073,0.256,0.087,0.451
CUST-0051,CONCEPT-008,0.307,0.119,0.235,0.543,0.411,0.43
CUST-0078,CONCEPT-008,0.062,0.113,0.095,0.212,0.114,0.448
CUST-0002,CONCEPT-008,0.277,0.302,0.129,0.234,0.319,0.401
CUST-0037,CONCEPT-008,0.017,0.127,0.051,0.324,0.327,0.42
CUST-0035,CONCEPT-008,0.09,0.216,0.26,0.226,0.156,0.252
CUST-0070,CONCEPT-008,0.224,0.275,0.0,0.301,0.305,0.393
CUST-0077,CONCEPT-008,0.138,0.257,0.214,0.174,0.229,0.427
CUST-0062,CONCEPT-008,0.227,0.125,0.122,0.298,0.092,0.343
CUST-0028,CONCEPT-008,0.0,0.187,0.101,0.256,0.177,0.396
CUST-0041,CONCEPT-009,0.309,0.291,0.375,0.313,0.273,0.386
CUST-0026,CONCEPT-009,0.213,0.211,0.414,0.375,0.325,0.614
CUST-0040,CONCEPT-009,0.61,0.362,0.55,0.668,0.561,0.391
CUST-0035,CONCEPT-009,0.4,0.396,0.307,0.483,0.4,0.495
CUST-0030,CONCEPT-009,0.361,0.256,0.345,0.598,0.55,0.31
CUST-0020,CONCEPT-009,0.219,0.202,0.307,0.34,0.165,0.377
CUST-0058,CONCEPT-009,0.387,0.306,0.384,0.327,0.373,0.406
CUST-0032,CONCEPT-009,0.188,0.229,0.24,0.486,0.275,0.446
CUST-0059,CONCEPT-009,0.303,0.282,0.344,0.426,0.42,0.561
CUST-0062,CONCEPT-009,0.288,0.282,0.142,0.379,0.388,0.363
CUST-0049,CONCEPT-009,0.302,0.309,0.145,0.406,0.353,0.521
CUST-0064,CONCEPT-009,0.374,0.416,0.227,0.622,0.453,0.334
CUST-0001,CONCEPT-009,0.284,0.258,0.267,0.468,0.286,0.503
CUST-0006,CONCEPT-009,0.385,0.156,0.018,0.426,0.42,0.457
CUST-0010,CONCEPT-009,0.194,0.381,0.067,0.358,0.367,0.303
CUST-0067,CONCEPT-009,0.501,0.441,0.393,0.523,0.38,0.389
CUST-0047,CONCEPT-009,0.362,0.332,0.41,0.558,0.522,0.412
CUST-0055,CONCEPT-009,0.367,0.218,0.27,0.421,0.277,0.484
CUST-0073,CONCEPT-010,0.133,0.232,0.089,0.334,0.379,0.668
CUST-0028,CONCEPT-010,0.319,0.059,0.002,0.23,0.155,0.428
CUST-0024,CONCEPT-010,0.048,0.15,0.109,0.217,0.223,0.695
CUST-0061,CONCEPT-010,0.036,0.0,0.0,0.221,0.16,0.566
CUST-0070,CONCEPT-010,0.025,0.112,0.14,0.35,0.268,0.505
CUST-0064,CONCEPT-010,0.037,0.014,0.059,0.38,0.326,0.564
CUST-0011,CONCEPT-010,0.191,0.028,0.203,0.253,0.084,0.66
CUST-0038,CONCEPT-010,0.097,0.086,0.0,0.314,0.234,0.644
CUST-0012,CONCEPT-010,0.03,0.006,0.0,0.311,0.134,0.639
CUST-0057,CONCEPT-010,0.198,0.0,0.101,0.429,0.42,0.7
CUST-0078,CONCEPT-010,0.12,0.227,0.126,0.403,0.283,0.593
CUST-0068,CONCEPT-010,0.152,0.152,0.026,0.18,0.27,0.825
CUST-0036,CONCEPT-010,0.082,0.069,0.197,0.44,0.237,0.6
CUST-0048,CONCEPT-010,0.264,0.117,0.0,0.405,0.386,0.602
CUST-0007,CONCEPT-010,0.094,0.018,0.218,0.304,0.251,0.746
CUST-0067,CONCEPT-010,0.063,0.099,0.009,0.396,0.284,0.553
CUST-0051,CONCEPT-010,0.12,0.176,0.124,0.302,0.269,0.618
CUST-0069,CONCEPT-010,0.106,0.031,0.262,0.385,0.32,0.67
CUST-0059,CONCEPT-010,0.0,0.055,0.083,0.284,0.243,0.709
CUST-0003,CONCEPT-010,0.045,0.222,0.095,0.272,0.227,0.627
CUST-0030,CONCEPT-010,0.23,0.403,0.162,0.416,0.254,0.57
CUST-0079,CONCEPT-010,0.208,0.0,0.208,0.426,0.158,0.735
CUST-0043,CONCEPT-010,0.089,0.01,0.0,0.3265,0.341,0.688
CUST-0015,CONCEPT-010,0.176,0.0,0.234,0.488,0.421,0.445
CUST-0023,CONCEPT-010,0.0,0.0,0.035,0.319,0.123,0.713
CUST-0053,CONCEPT-011,0.475,0.386,0.14,0.559,0.469,0.394
CUST-0027,CONCEPT-011,0.548,0.385,0.416,0.689,0.553,0.403
CUST-0041,CONCEPT-011,0.501,0.482,0.332,0.722,0.604,0.347
CUST-0001,CONCEPT-011,0.394,0.173,0.36,0.602,0.515,0.362
CUST-0021,CONCEPT-011,0.666,0.454,0.384,0.497,0.546,0.441
CUST-0078,CONCEPT-011,0.345,0.506,0.259,0.487,0.543,0.462
CUST-0052,CONCEPT-011,0.55,0.373,0.31,0.391,0.329,0.469
CUST-0058,CONCEPT-011,0.452,0.251,0.353,0.627,0.519,0.413
CUST-0004,CONCEPT-011,0.458,0.0,0.327,0.769,0.433,0.398
CUST-0026,CONCEPT-011,0.59,0.592,0.51,0.723,0.68,0.352
CUST-0071,CONCEPT-011,0.717,0.568,0.304,0.5874999999999999,0.621,0.222
CUST-0020,CONCEPT-011,0.334,0.395,0.244,0.562,0.342,0.469
CUST-0011,CONCEPT-011,0.559,0.659,0.599,0.862,0.776,0.382
CUST-0057,CONCEPT-011,0.503,0.155,0.133,0.472,0.352,0.436
CUST-0030,CONCEPT-011,0.573,0.491,0.327,0.618,0.471,0.376
CUST-0048,CONCEPT-011,0.233,0.634,0.433,0.551,0.647,0.357
CUST-0072,CONCEPT-011,0.4,0.507,0.305,0.573,0.587,0.45
CUST-0010,CONCEPT-011,0.417,0.509,0.275,0.5874999999999999,0.434,0.539
CUST-0078,CONCEPT-012,0.212,0.028,0.027,0.36,0.254,0.464
CUST-0037,CONCEPT-012,0.357,0.262,0.476,0.601,0.475,0.233
CUST-0031,CONCEPT-012,0.369,0.388,0.33899999999999997,0.538,0.4,0.296
CUST-0032,CONCEPT-012,0.183,0.3,0.33899999999999997,0.436,0.339,0.229
CUST-0064,CONCEPT-012,0.472,0.301,0.6,0.686,0.58,0.315
CUST-0065,CONCEPT-012,0.349,0.325,0.244,0.519,0.452,0.251
CUST-0055,CONCEPT-012,0.348,0.241,0.016,0.567,0.513,0.496
CUST-0041,CONCEPT-012,0.27,0.132,0.33899999999999997,0.492,0.314,0.287
CUST-0006,CONCEPT-012,0.409,0.183,0.33899999999999997,0.462,0.319,0.272
CUST-0046,CONCEPT-012,0.57,0.557,0.472,0.507,0.717,0.286
CUST-0060,CONCEPT-012,0.413,0.365,0.318,0.36,0.266,0.273
CUST-0020,CONCEPT-012,0.509,0.511,0.527,0.507,0.673,0.163
CUST-0052,CONCEPT-012,0.291,0.099,0.211,0.56,0.444,0.455
CUST-0068,CONCEPT-012,0.499,0.253,0.33899999999999997,0.329,0.359,0.263
CUST-0016,CONCEPT-012,0.539,0.455,0.451,0.507,0.442,0.262
CUST-0030,CONCEPT-012,0.642,0.44,0.611,0.673,0.543,0.31
CUST-0017,CONCEPT-012,0.525,0.403,0.267,0.391,0.395,0.42
CUST-0002,CONCEPT-012,0.403,0.29,0.225,0.466,0.394,0.423
CUST-0015,CONCEPT-012,0.384,0.209,0.36,0.591,0.569,0.298
